# FocusGlobe native-language review coverage. Generated and updated by
# Tools/review_manifest.py -- run `sync` after changing any translation table.
#
# R = a native-speaker judgement was made on THIS key in THIS language and the
#     value was then deliberately kept or rewritten. - = not yet.
# Passing localization_audit.py is NOT review; see the script's docstring.
catalog	area	key	english	context	es	pt-BR	fr	it	de	nl	ru	ro	zh-Hans	hi
app	flight	%.1f km	%.1f km	Formatters.swift:53	R	R	R	R	R	R	R	R	R	R
app	extracted	%@ balloon preview	%@ balloon preview		-	-	-	-	-	-	-	-	-	-
app	extracted	%@ balloon skin. %@	%@ balloon skin. %@		-	-	-	-	-	-	-	-	-	-
app	extracted	%@ collection	%@ collection		-	-	-	-	-	-	-	-	-	-
app	extracted	%@ focused	%@ focused		-	-	-	-	-	-	-	-	-	-
app	extracted	%@ packed — taking off	%@ packed — taking off		-	-	-	-	-	-	-	-	-	-
app	misc	%@, %@, %@	%@, %@, %@		R	R	R	R	R	R	R	R	R	R
app	misc	%@, %@, %@, premium	%@, %@, %@, premium		R	R	R	R	R	R	R	R	R	R
app	misc	%@, FocusGlobe PRO	%@, FocusGlobe PRO		R	R	R	R	R	R	R	R	R	R
app	misc	%@, FocusGlobe PRO, locked	%@, FocusGlobe PRO, locked		R	R	R	R	R	R	R	R	R	R
app	paywall	%@, billed immediately. Cancel anytime.	%@, billed immediately. Cancel anytime.		R	R	R	R	R	R	R	R	R	R
app	misc	%@, free	%@, free		R	R	R	R	R	R	R	R	R	R
app	extracted	%@. %@	%@. %@		-	-	-	-	-	-	-	-	-	-
app	extracted	%@. %@. %@	%@. %@. %@		-	-	-	-	-	-	-	-	-	-
app	paywall	%@. Free and PRO.	%@. Free and PRO.		R	R	R	R	R	R	R	R	R	R
app	paywall	%@. PRO only.	%@. PRO only.		R	R	R	R	R	R	R	R	R	R
app	paywall	%@/month	%@/month		R	R	R	R	R	R	R	R	R	R
app	paywall	%@/year	%@/year		R	R	R	R	R	R	R	R	R	R
app	extracted	%lld Coins	%lld Coins | plural: %lld Coins		-	-	-	-	-	-	-	-	-	-
app	extracted	%lld Focus Coins	%lld Focus Coins | plural: %lld Focus Coins		-	-	-	-	-	-	-	-	-	-
app	extracted	%lld Focus Coins. Opens the Store.	%lld Focus Coins. Opens the Store.		-	-	-	-	-	-	-	-	-	-
app	paywall	%lld day	%lld day | plural: %lld days		R	R	R	R	R	R	R	R	R	R
app	extracted	%lld day streak	%lld day streak | plural: %lld day streak		-	-	-	-	-	-	-	-	-	-
app	extracted	%lld focus days	%lld focus days | plural: %lld focus days		-	-	-	-	-	-	-	-	-	-
app	extracted	%lld focusing now	%lld focusing now | plural: %lld focusing now		-	-	-	-	-	-	-	-	-	-
app	extracted	%lld minutes	%lld minutes | plural: %lld minutes		-	-	-	-	-	-	-	-	-	-
app	paywall	%lld month	%lld month | plural: %lld months		R	R	R	R	R	R	R	R	R	R
app	paywall	%lld week	%lld week | plural: %lld weeks		R	R	R	R	R	R	R	R	R	R
app	paywall	%lld year	%lld year | plural: %lld years		R	R	R	R	R	R	R	R	R	R
app	extracted	%lld-day streak	%lld-day streak | plural: %lld-day streak		-	-	-	-	-	-	-	-	-	-
app	flight	%lldh %02lldm	%lldh %02lldm	Formatters.swift:27	R	R	R	R	R	R	R	R	R	R
app	paywall	+ Unlock so much more with PRO	+ Unlock so much more with PRO	PaywallView.swift:180	R	R	R	R	R	R	R	R	R	R
app	extracted	+%lld Coins	+%lld Coins | plural: +%lld Coins		-	-	-	-	-	-	-	-	-	-
app	passport	1 Hour Focused	1 Hour Focused	PassportView.swift:470	R	R	R	R	R	R	R	R	R	R
app	app-chrome	1 selected	1 selected	FocusShieldPickerView.swift:256	-	-	-	-	-	-	-	-	-	-
app	app-chrome	1 visit	1 visit	VisitedPlaces.swift:58	-	-	-	-	-	-	-	-	-	-
app	passport	1,000 Focus Minutes	1,000 Focus Minutes	PassportView.swift:482	R	R	R	R	R	R	R	R	R	R
